,tic,datadate,open,high,low,volume,adjcp,macd,rsi,cci,adx,turbulence
1912,TSLA,20180201,70.199997,71.931999,69.725998,20988500,69.849998,1.2587048039020772,55.222302513311334,104.6410121469376,35.079765474955906,3.1364000553846436
1913,TSLA,20180202,69.688004,70.389999,68.101997,18524000,68.75,1.135036785456066,53.2457802670059,59.72707419073631,19.96912544601378,2.954522272547082
1914,TSLA,20180205,67.594002,68.893997,66.599998,22320500,66.625999,0.8557750184632624,49.69299891258241,10.560737053416489,8.022287351177908,2.6250801387835008
1915,TSLA,20180206,65.042,67.244003,64.699997,25442000,66.793999,0.6406294743126182,49.96616382189129,-21.536390594544088,4.797471351441514,2.644974047722851
1916,TSLA,20180207,67.797997,69.199997,67.13200400000001,34846000,69.0,0.640744817507283,53.40311266021737,38.47262185979146,7.308108849699808,2.97677933218301
1917,TSLA,20180208,68.662003,69.72399899999999,62.919998,51573000,63.046001000000004,0.1585703676739456,44.8090035917051,-56.5562510921092,15.231831580092035,2.1092357758369484
1918,TSLA,20180209,63.986,64.195999,58.952,64668500,62.084,-0.2977495274111419,43.6352898796404,-155.71654342861996,30.03197706498503,1.9805901082757644
1919,TSLA,20180212,63.226002,63.616001000000004,61.25,31139000,63.146,-0.5671540090030192,45.27239140478412,-128.73602839118286,30.03197706498503,2.115842193077717
1920,TSLA,20180213,63.004002,64.837997,62.501999,22801000,64.73200200000001,-0.6452439246775299,47.62264315387115,-93.46753339588022,22.505128362705236,2.327459871137142
1921,TSLA,20180214,64.167999,65.234001,63.703998999999996,19753500,64.461998,-0.7206110560501315,47.26517373358507,-82.50457406505012,20.09695090768049,2.286131363998113
1922,TSLA,20180215,64.900002,66.82399699999999,64.480003,29564500,66.814003,-0.5838229560594357,50.60626664051155,-38.717755520387065,10.752616610756213,2.6169013362097937
1923,TSLA,20180216,66.5,68.624001,66.32800300000001,28213000,67.098,-0.4473445078495075,50.99409380568228,-2.7401613208822893,1.2217706570214935,2.653887571296795
1924,TSLA,20180220,66.893997,68.167999,66.300003,20047000,66.954002,-0.3468060255442964,50.78493927585266,-15.802354150211213,1.3629157997806123,2.627594610428005
1925,TSLA,20180221,67.206001,67.938004,66.634003,16098000,66.660004,-0.28753718584029286,50.348777602873305,-20.03474014097507,1.3629157997806178,2.579569986126284
1926,TSLA,20180222,67.106003,69.487999,66.949997,34849000,69.234001,-0.0324916141537841,53.93219195084963,33.99671881343859,7.03947586884109,2.9635377030211107
1927,TSLA,20180223,69.566002,70.998001,69.41999799999999,29087000,70.410004,0.261512894878706,55.451763825107015,93.2052021768406,14.426570860944565,3.1438720800855013
1928,TSLA,20180226,70.699997,71.800003,70.472,21700000,71.484001,0.5745530783670887,56.79807271959059,119.26498248810329,18.12069017248737,3.3120694087081715
1929,TSLA,20180227,71.25,71.998001,70.001999,23987000,70.197998,0.7106777340532346,54.74856702930353,94.37259539928742,15.010433367596368,3.0961178948678114
1930,TSLA,20180228,70.514,71.047997,68.444,30348500,68.612,0.6827108547867766,52.33907506120889,44.66616615461257,5.195248466272086,2.842105911325579
1931,TSLA,20180301,69.001999,69.734001,66.014,34428000,66.185997,0.4594919966174871,48.9314429330765,-23.513629841493636,7.908184073786638,2.4784630450731617
1932,TSLA,20180302,65.396004,67.043999,64.594002,25464000,67.024002,0.34621845250630656,50.09254557363225,-56.30752564156709,14.556521156961203,2.5947828096638474
1933,TSLA,20180305,66.477997,67.550003,65.858002,19119000,66.66999799999999,0.22528622902879647,49.59973367349198,-37.40911753425279,11.490605650064305,2.538659795651886
1934,TSLA,20180306,66.75,67.274002,65.405998,21428500,65.639999,0.045806233665757645,48.173252818443956,-53.12952974577102,13.696183496559783,2.387862509312016
1935,TSLA,20180307,65.087997,66.5,64.348,25036500,66.459999,-0.02992089926729591,49.37240474188836,-60.624009204871854,18.761440662691918,2.499549771353186
1936,TSLA,20180308,66.571999,66.660004,65.253998,17831000,65.82,-0.1399643464453959,48.466974765227164,-52.16307205329686,17.645206210713695,2.404488117234192
1937,TSLA,20180309,64.82,65.697998,64.47399899999999,27534000,65.433998,-0.25537786948869723,47.918686426677425,-72.58431877961087,21.490496221433244,2.34652999218131
1938,TSLA,20180312,65.722,69.442001,65.300003,41320000,69.101997,-0.050287371935866076,53.13079651337606,24.83393008992408,1.9904000611004002,2.8770560350126755
1939,TSLA,20180313,65.722,69.442001,65.300003,29829000,68.36799599999999,0.052416355456657016,52.052437380283855,18.47942728288383,1.9904000611003934,2.7601094316224315
1940,TSLA,20180314,67.351997,67.961998,64.78600300000001,39837000,65.32599599999999,-0.11038176530939836,47.88558860447813,-39.63983452283747,1.010931160937559,2.3179456540726613
1941,TSLA,20180315,65.875999,66.57,64.220001,32824000,65.120003,-0.25310472869806233,47.61855899084733,-61.84147886753831,4.325074634235956,2.2858034810340553
1942,TSLA,20180316,64.585999,65.480003,63.813999,30586500,64.269997,-0.4298470763251032,46.51140795878401,-86.64636916379531,6.719755507644426,2.1676044715325786
1943,TSLA,20180319,63.299999,64.150002,61.933997999999995,37421500,62.712002000000005,-0.6877063848497187,44.54749934242345,-138.4295647644861,17.002480684014863,1.9623628904194745
1944,TSLA,20180320,62.973999,63.25,61.751999,23821500,62.110001000000004,-0.9299186706185765,43.80811413587376,-146.22697475573767,17.938601887566147,1.8841539045672242
1945,TSLA,20180321,62.049999,64.487999,62.037997999999995,29792000,63.306,-1.013681439575734,45.661690202157885,-104.38693576291625,8.999260751547911,2.032103056060617
1946,TSLA,20180322,62.778,63.764,61.636002000000005,24699000,61.82,-1.186296925914533,43.8044573395512,-125.88575262048822,11.332080524236297,1.8427194819075314
1947,TSLA,20180323,62.25,62.25,60.09,33274500,60.307999,-1.4286333904145607,42.00607112186239,-160.84679068492972,19.78565396790192,1.6599242613641096
1948,TSLA,20180326,61.467999,61.518002,58.271999,41876000,60.835999,-1.560097761285924,42.853607949174716,-175.87960051617665,28.370164327152132,1.7194475373054512
1949,TSLA,20180327,60.799999,60.854,55.436001,69360000,55.835999,-2.0441784192474017,37.48682486154263,-235.90933620460868,39.21738256932978,1.177776003804158
1950,TSLA,20180328,52.916,53.736,50.419998,105007000,51.556,-2.741572833100456,33.74461570524407,-314.61881021927576,52.74660902362657,0.7955993958200759
1951,TSLA,20180329,51.298,54.192001,49.641998,75853500,53.226002,-3.1235019398730586,36.31093593385397,-247.89600797835342,54.428404976353114,0.9345869223695358
1952,TSLA,20180402,51.251999,52.066002000000005,48.917999,80570000,50.495998,-3.6049167791977794,34.07868966122436,-233.5567268491869,55.98668834567502,0.7112374227410588
1953,TSLA,20180403,53.964001,54.669998,50.897999,94222000,53.506001,-3.7008977754869576,38.39811123726231,-165.87563341371228,37.86228490169696,0.9574787150831124
1954,TSLA,20180404,50.556,57.674,50.400002,99483500,57.388,-3.4242459546253556,43.3504251374373,-120.01868617619496,20.584388385513225,1.328975127833644
1955,TSLA,20180405,57.868,61.251999,57.639998999999996,95605500,61.144001,-2.868849195208135,47.56927019811555,-46.29141917220805,3.9906782148344795,1.7456522305990252
1956,TSLA,20180406,60.200001,61.855999,59.099998,67601500,59.860001000000004,-2.5034431962891475,46.348606076602614,-38.955416284330184,1.47094511749856,1.5939214863799211
1957,TSLA,20180409,60.074001,61.900002,57.841999,51249000,57.931999,-2.3424279071498972,44.57197488945592,-49.54406845596444,6.514221092538842,1.3803785875102224
1958,TSLA,20180410,59.793999,61.419998,58.736,54949000,60.939999,-1.9496275762613067,47.80131491761233,-28.530125923864443,6.514221092538854,1.7149226431522802
1959,TSLA,20180411,60.147999,61.796001000000004,59.931999,37414500,60.186001,-1.679808039795759,47.089892270180826,-20.089203976179956,4.684150856820431,1.6249044603607254
1960,TSLA,20180412,60.464001,60.790001000000004,58.736,38044000,58.816002000000005,-1.5585555250173826,45.808427876903785,-35.001082192340405,9.94517564212696,1.469503967711488
1961,TSLA,20180413,60.720001,60.790001000000004,59.195999,36636000,60.068001,-1.3459212353760037,47.16763574848317,-22.346288117294367,9.945175642126948,1.6072809145989988
1962,TSLA,20180416,59.799999,59.931999,57.801998,31692500,58.242001,-1.3096531026327511,45.44779972570017,-42.25805525768258,16.11204164580321,1.4037952872074402
1963,TSLA,20180417,57.773998,58.433997999999995,56.501999,35000000,57.537997999999995,-1.3224728607098797,44.79634756003755,-58.881364734520375,21.472742672393135,1.3281038961314138
1964,TSLA,20180418,58.216,60.048,57.632,32788500,58.669998,-1.227143920619767,46.08192783182186,-32.46339291013072,11.976060725220822,1.4463760620857027
1965,TSLA,20180419,58.216,60.202,57.709998999999996,30453000,60.015999,-1.0310981593455324,47.58341734109427,-19.49552650975061,11.09023297392498,1.5937148186827212
1966,TSLA,20180420,59.034,59.995998,57.950001,28139500,58.048,-1.0227420197791588,45.6601994161389,-28.550469889487132,11.090232973924975,1.3762106164515926
1967,TSLA,20180423,58.257999,58.324001,56.466,24467000,56.674,-1.1141468446798157,44.36511059764987,-54.914110801662474,18.21451637885637,1.2335416145298477
1968,TSLA,20180424,57.0,57.417999,55.692001,28426500,56.692001,-1.171627504135543,44.386488998689686,-61.70593624542713,21.71200868145941,1.2339393499273188
1969,TSLA,20180425,56.700001,57.032001,55.450001,20068000,56.138,-1.2475041404141365,43.85003180057582,-64.8878263315375,22.815200378606523,1.1778725917211506
1970,TSLA,20180426,55.75,57.158001,55.299999,21780000,57.096001,-1.216313343875541,45.038323131129,-52.72200111604848,23.529198152900147,1.2718303926192143
1971,TSLA,20180427,57.074001,58.894001,56.765999,21823000,58.816002000000005,-1.040806932412245,47.11694707992896,-8.19202519494079,10.844094925935117,1.450585148161382
1972,TSLA,20180430,58.722,59.745998,58.5,21141000,58.779999,-0.8943128957112378,47.07839295683187,19.162059438899004,5.1777835217462,1.4448917379420416
1973,TSLA,20180501,58.702,60.164001,58.644001,23128000,59.984001,-0.6733010219915272,48.53524475153576,39.42568804972411,2.43161659287126,1.5759992020810312
1974,TSLA,20180502,59.714001,61.369999,59.556,44852000,60.23,-0.4728467731001018,48.83296065060324,64.65122054767268,5.202042861890802,1.601795062912086
1975,TSLA,20180503,55.757999,57.608002,55.046001000000004,86760500,56.889998999999996,-0.5768459823948575,45.16339072136315,-40.64955549404725,18.94534981791121,1.2427004781406203
1976,TSLA,20180504,56.599998,59.372002,55.903999,42847000,58.818001,-0.49795237164408235,47.518403617545346,8.784123948135399,8.529828345048815,1.4417448611055605
1977,TSLA,20180507,59.5,61.192001,59.034,43391000,60.554001,-0.2919821367636217,49.53705259908439,79.27264241154096,1.0284603089915598,1.633150398259755
1978,TSLA,20180508,60.16,61.549999,59.799999,29650000,60.394001,-0.14004554662350444,49.35604880693126,88.53019037262537,2.827934437934978,1.6126793472702532
1979,TSLA,20180509,60.082001,61.402,60.009997999999996,28637000,61.369999,0.05844644333383542,50.49744733237012,92.90813472999353,2.827934437934975,1.723686864295034
1980,TSLA,20180510,61.5,62.598,60.821999,28258000,61.004002,0.1840977124646912,50.05977362114721,108.34635346487056,9.134762858817014,1.6784795523202742
1981,TSLA,20180511,61.540001000000004,61.776001,59.816002000000005,23398000,60.212002000000005,0.21726497218300267,49.10698788725847,77.76799496897817,3.117078771152089,1.585437880450531
1982,TSLA,20180514,60.664001,60.987999,58.324001,36434000,58.394001,0.09574904207988055,46.983527434288455,21.598313936517716,5.172574399107114,1.384723100487993
1983,TSLA,20180515,57.001999,57.391998,56.099998,47596000,56.835999,-0.12483196346620673,45.24890059251697,-101.67900105639337,15.940290455809164,1.2235249435051683
1984,TSLA,20180516,56.765999,57.762001,56.312,28370000,57.296001000000004,-0.2595339368887437,45.859418385504014,-93.03834915773534,13.645332101298319,1.2682120746528254
1985,TSLA,20180517,57.18,57.838001,56.793999,22103000,56.908001,-0.3930635863008334,45.41751824148692,-83.42320117811128,13.15354105535854,1.2278841085545367
1986,TSLA,20180518,56.93,56.93,54.799999,36259500,55.363997999999995,-0.6163698063667127,43.684655412167444,-143.37830596511824,22.553116132688835,1.077888284098641
1987,TSLA,20180521,56.265999,58.298,56.259997999999996,45913000,56.897999,-0.6619302146078709,45.80967671606914,-68.41674332037479,13.54087156591875,1.2243095672171744
1988,TSLA,20180522,57.551998,57.599998,54.683997999999995,44729000,55.001999,-0.8413301901289074,43.701213697046995,-122.06354477030952,20.720520549503924,1.0420699520196848
1989,TSLA,20180523,55.551998,55.981998,54.799999,29925500,55.813999,-0.9075229892963392,44.826289809001445,-122.6576343699453,20.72052054950393,1.116652016120175
1990,TSLA,20180524,55.68,56.222,54.978001,20883500,55.57,-0.9685056098486555,44.54954377475929,-111.17778265410703,19.00091554294195,1.0924664482921644
1991,TSLA,20180525,55.526001,55.928001,55.122002,19375500,55.77,-0.9892924993429304,44.83831329740938,-103.17330246390588,19.000915542941943,1.1101422090716278
1992,TSLA,20180529,55.702,57.299999,55.23,28333000,56.751999,-0.9159684327148838,46.25982236892819,-63.80320918216701,8.870573239346733,1.2036725539020103
1993,TSLA,20180530,56.658001,59.001999,56.32,37448500,58.344002,-0.7210850251548564,48.48616535093536,-2.950730610748141,2.172833449887897,1.3640266426079128
1994,TSLA,20180531,57.442001,58.074001,56.585999,29598500,56.945999,-0.6717027084037781,46.727617891142835,-29.988246666659297,2.172833449887907,1.2199827704022923
1995,TSLA,20180601,57.172001,58.389998999999996,56.768002,27122000,58.363997999999995,-0.5122413980329483,48.680646088381835,-0.7045543376246748,4.233735140400674,1.3630615734947928
1996,TSLA,20180604,58.868,59.799999,58.709998999999996,23989000,59.348,-0.3029739281067023,49.99662529040407,61.16459119694787,12.978037175747561,1.46636041031585
1997,TSLA,20180605,59.540001000000004,59.560001,57.348,29976000,58.226002,-0.22506935277295526,48.52875935291029,20.00328909065492,3.2438813129838007,1.3453263538727565
1998,TSLA,20180606,60.099998,64.433998,59.495998,93836500,63.900002,0.29115866895888587,55.38173085753558,179.91966621397054,27.228705354544637,1.998180227913827
1999,TSLA,20180607,63.23,66.0,62.716,71726500,63.217999,0.6378879775070843,54.479806621410276,204.27907252537193,32.9382773560679,1.909767860165121
2000,TSLA,20180608,63.799999,64.896004,63.43,41026000,63.532001,0.9273212081074362,54.830172136641025,178.95679710551093,32.93827735606791,1.9460496469510198
2001,TSLA,20180611,64.501999,66.931999,64.5,65917500,66.41999799999999,1.3738988992261483,57.91236201088575,211.17854002646254,39.93907111870551,2.3206274502593196
2002,TSLA,20180612,68.940002,70.994003,67.599998,111737000,68.554001,1.8783585956955093,59.9988001683635,253.25491952807567,50.87596393224112,2.616845682267644
2003,TSLA,20180613,69.342003,69.440002,67.959999,47349000,68.956001,2.2842531317248174,60.38153928104781,209.2788516922367,50.87596393224112,2.6706193878532614
2004,TSLA,20180614,69.52600100000001,71.75,69.32,54905000,71.543999,2.7826802795343966,62.75488131072067,217.58521042384388,56.07381730070025,3.057297025667894
2005,TSLA,20180615,70.76799799999999,72.933998,70.25,54241500,71.634003,3.1486542297608935,62.83497867955322,201.04590811967805,58.48084741650025,3.065196919134745
2006,TSLA,20180618,71.08000200000001,74.746002,70.900002,60366000,74.166,3.6014865243285215,65.02396996758776,197.4385245509414,61.896652432376776,3.4677183151509148
2007,TSLA,20180619,73.031998,74.0,69.25,63809500,70.510002,3.6235805155216454,59.76586918220189,144.89247159812726,49.89296045076984,2.8790729000753483
2008,TSLA,20180620,71.608002,72.875999,70.400002,41918500,72.444,3.753875300467584,61.47084505131062,136.47246769032648,49.89296045076984,3.173756122818152
2009,TSLA,20180621,72.400002,73.241997,69.253998,39835500,69.501999,3.578489365021042,57.627881049467064,108.29236420621659,41.56276728303464,2.7170808797957444
2010,TSLA,20180622,70.307999,70.449997,66.400002,51330500,66.725998,3.178850853032756,54.31348169691904,68.0908884917966,23.318259751802113,2.3195208730638135
2011,TSLA,20180625,66.024002,67.694,65.5,34656500,66.601997,2.8196257185344393,54.16951701109051,49.65314975582242,18.183798778625178,2.2988963698954605
2012,TSLA,20180626,67.209999,68.709999,65.160004,37262500,68.400002,2.6494796363088824,55.92202081822229,55.48224465088146,22.097883558825917,2.544424263074672
2013,TSLA,20180627,69.0,70.157997,67.900002,41668500,68.900002,2.525866840989025,56.40161871202865,68.69762165813677,27.38995843324074,2.6114672681073885
2014,TSLA,20180628,69.73200200000001,71.403999,69.222,41990000,69.986,2.4868667211117668,57.442062080336534,77.58265824964668,31.660315278646262,2.7653432925653845
2015,TSLA,20180629,70.666,70.772003,68.48200200000001,32462000,68.589996,2.3166085676910058,55.67524688065449,63.04531506110581,26.92141163270553,2.557506441650242
